Year,Rural_traffic_in,Rural_traffic_out,rural_phones,Locations,Mobile_phones,Mobile_traffic_in,Mobile_traffic_out,MMS,SMS,Rural_population,PBI
2006,140968904,182470409,14221,9191,55606894,1211904425,4300811363,9549167,797061621,6869817,88643193061.748
2007,127374052,181013062,14780,9198,89562518,1376440097,8250368519,12831376,3209720669,6845990,102170981144.136
2008,96895035,139257563,17868,9521,116677743,1736104032,12515102774,18530696,3878812329,6859181,120550599815.441
2009,74342629,105819960,16419,9494,132173951,2141368661,17377847673,16819258,3661910890,6890468,120822986521.479
2010,56613331,89226667,21340,12635,150419094,2694342886,19648912176,18916421,4358109394,6923368,147528937028.778
2011,34965133,60372566,21782,12671,166611829,3803911316,26756356826,20024700,5428075569,6958778,171761737046.585
2012,28968553,51726115,20999,13250,117377681,4212811737,32613594433,19597174,7860995193,6995674,192648999090.082
2013,23633324,39323688,20803,15067,121211973,4914607463,38404117745,17365718,10330077232,7033477,201217661645.509
2014,17331402,28449234,20058,16019,230522077,5694128857,43263274050,18271439,11494167142,7070288,201080662205.002
2015,14372231,19071962,20044,17417,344571836,8586273194,47994342480,11605091,12675369815,7104620,189926516769.25
2016,14231412,14044383,18471,15989,464826243,16165825038,55746187929,7506784,15221087095,7136722,191639655121.33
