Year,Rural_phones,Locations,Mobile_phones,Mobile_vol_traffic_in,Mobile_vol_traffic_out,MMS,SMS,Rural_population,PBI,PBI_per_capita,Rural_vol_traffic_in,Rural_vol_traffic_out,Rural_traffic_in,Rural_traffic_out
2006,14221,9191,55606894,1211904425,4300811363,9549167,797061621,6869817,88643193061.748,10385.3875342291,140968904,182470409,268.21,347.17
2007,14780,9198,89562518,1376440097,8250368519,12831376,3209720669,6845990,102170981144.136,11299.4775617929,127374052,181013062,242.34,343.45
2008,17868,9521,116677743,1736104032,12515102774,18530696,3878812329,6859181,120550599815.441,12314.756172583,96895035,139257563,184.35,264.23
2009,16419,9494,132173951,2141368661,17377847673,16819258,3661910890,6890468,120822986521.479,12549.1064998795,74342629,105819960,141.44,200.78
2010,21340,12635,150419094,2694342886,19648912176,18916421,4358109394,6923368,147528937028.778,14189.0455137915,56613331,89226667,107.71,169.76
2011,21782,12671,166611829,3803911316,26756356826,20024700,5428075569,6958778,171761737046.585,15895.469585019,34965133,60372566,66.52,114.86
2012,20999,13250,117377681,4212811737,32613594433,19597174,7860995193,6995674,192648999090.082,16848.4224558627,28968553,51726115,55.12,98.41
2013,20803,15067,121211973,4914607463,38404117745,17365718,10330077232,7033477,201217661645.509,17786.9217917225,23633324,39323688,44.96,74.61
2014,20058,16019,230522077,5694128857,43263274050,18271439,11494167142,7070288,201080662205.002,18430.9390581336,17331402,28449234,32.97,54.13
2015,20044,17417,344571836,8586273194,47994342480,11605091,12675369815,7104620,189926516769.25,19275.5311741007,14372231,19071962,27.34,36.29
2016,18471,15989,464826243,16165825038,55746187929,7506784,15221087095,7136722,191639655121.33,20356.4636932918,14231412,14044383,27.08,26.72
