iden,Departamento,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
1,Amazonas,2097,5458,10512,22007,54398,98454,127851,173763,208272,187753,208308,230046,248781,264260,269583,268558
2,Ancash,52967,76109,112382,199554,404793,582697,700109,899178,1031749,793260,837312,926243,897929,972094,1013903,1072949
3,Apurímac,3535,7725,14322,29496,71529,117619,160949,210640,262142,259632,286771,309813,316498,324688,307204,302806
4,Arequipa,154912,196317,305259,504953,906511,1158143,1343661,1567779,1666920,1277135,1365147,1442598,1473029,1505925,1505997,1571567
5,Ayacucho,9671,20197,31840,73031,188707,317653,426275,512700,555726,405354,456900,499713,531270,563393,569483,602293
6,Cajamarca,37639,58773,79416,154775,337840,523119,675626,861451,1020499,809140,872576,959579,1012045,1072210,1121809,1122147
8,Cusco,53088,77497,119301,218709,436982,664205,889386,1054309,1189115,876512,973631,1039381,1083517,1076987,1009463,970959
9,Huancavelica,774,2079,4444,11648,28236,50216,73369,100320,116576,197827,205513,231736,248126,252212,261264,240868
10,Huánuco,10609,21750,35454,68762,140489,240308,328600,421227,476569,457671,493410,525548,570168,587182,582478,567432
11,Ica,50774,84054,143165,246097,456064,615055,735331,882139,944696,693262,723105,761372,789436,844430,880095,958440
12,Junín,49820,73668,116822,222278,461785,716885,935700,1145697,1273276,884993,945650,1007981,1061961,1136708,1157128,1168729
13,La Libertad,146558,189036,254580,436301,865880,1169056,1381847,1619378,1835821,1329663,1435850,1538558,1560336,1631219,1683948,1778280
14,Lambayeque,82238,115724,171712,303933,627119,884995,1021397,1195064,1327251,882123,921677,977053,1007452,1058798,1027800,1053616
15,Lima y Callao,20394300,27953510,35971930,52036010,82381270,106359890,119410980,134904770,149227070,97783630,101395680,209448340,321543530,438833530,556741280,684590620
16,Loreto,19965,32028,46684,81025,158652,235637,293639,371762,414280,317238,367603,409746,452229,490287,497774,518731
17,Madre de Dios,1444,3242,8656,23074,50689,79367,103962,132396,162190,151199,153884,155237,160289,174827,160293,155288
18,Moquegua,13027,24332,42060,73378,122256,153250,174418,203654,211129,166055,173495,183202,190648,202123,209436,208159
19,Pasco,2628,6350,11968,31518,79508,123704,159262,189578,192824,164246,174647,197091,209992,216414,212096,204816
20,Piura,82502,123170,184517,315724,629092,886554,1082862,1278834,1486098,1090777,1179317,1302323,1339801,1398720,1410347,1442872
21,Puno,37699,58295,95854,203210,486482,726323,920784,1164365,1305350,942992,994682,1055754,1101969,1155907,1179621,1175604
22,San Martín,6762,14382,26862,62588,157182,285102,382559,503457,602283,435286,478669,536274,578574,610050,638967,629530
23,Tacna,50833,61674,91882,145284,250885,313307,370662,444346,449710,297370,316136,329815,352149,380209,408212,417627
24,Tumbes,9932,22001,39287,67645,118365,157495,190410,228950,261207,169345,177042,190866,187999,202032,203607,199067
25,Ucayali,11439,23346,39184,73888,145797,216701,282303,351327,389065,262853,300376,315329,348321,370825,379023,388511
26,Sin LAC,,,,,,,,,,6540353,5772579,5946465,7303772,9499197,10435080,12350988
