Departamento,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AMAZONAS,580,619,716,661,907,916,935,937,852,809,788
ANCASH,929,969,1222,1101,1312,1321,1307,1236,1129,1048,1001
APURIMAC,605,554,679,607,879,889,827,889,790,814,713
AREQUIPA,412,437,553,556,666,687,672,631,528,486,462
AYACUCHO,593,668,795,719,1073,1131,1031,1029,1189,1380,1063
CAJAMARCA,1247,1301,1578,1522,1872,1873,1734,1743,1548,1478,1414
CUSCO,885,1015,1177,1105,1660,1677,1568,1614,1519,1585,1375
HUANCAVELICA,425,446,637,652,902,920,901,867,830,862,779
HUANUCO,659,677,755,732,1080,1102,1087,1044,981,981,948
ICA,165,159,231,168,230,227,229,249,283,368,266
JUNIN,600,589,779,693,1007,1094,951,907,984,1146,958
LA LIBERTAD,678,738,917,810,1150,1126,1140,1123,1053,981,906
LAMBAYEQUE,338,302,503,370,448,479,435,455,374,347,321
LIMA,497,479,631,599,646,637,597,612,539,492,452
LORETO,410,479,506,549,925,974,1116,1031,1010,1071,1020
MADRE DE DIOS,102,133,155,141,171,169,160,155,142,121,105
MOQUEGUA,113,119,133,138,155,145,151,153,131,127,124
PASCO,346,327,354,324,420,413,413,368,343,336,309
PIURA,804,838,1092,855,1178,1242,1074,1070,1435,1411,1334
PUNO,826,853,1089,962,1195,1257,1167,1206,997,965,929
SAN MARTIN,631,690,928,755,951,974,953,929,913,767,746
TACNA,96,98,123,104,115,127,111,111,103,94,89
TUMBES,88,73,91,69,87,92,102,99,77,73,71
UCAYALI,186,210,216,218,301,299,326,332,294,287,282
