Departamento,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AMAZONAS,8895376,7816344,6746167,5378370,5094269,3340524,3317071,2874945,1906403,1800973,1581385
ANCASH,11831134,11328168,8293984,5720466,2913392,1551568,1070797,459310,167985,96716,98567
APURIMAC,7956975,7461087,5921347,4786816,3300861,1629486,835009,403507,201596,146165,94692
AREQUIPA,3791709,3415753,2825995,2329601,1790794,1195238,803358,495429,259715,186261,167993
AYACUCHO,7544585,7046079,5477454,4205118,2971574,1626016,1054275,676295,539898,455292,400354
CAJAMARCA,17258052,14957845,10307239,7254721,5578038,3495566,2022216,1048063,442703,236851,182496
CUSCO,8787594,7829416,5534722,4083240,3250256,1993390,1565047,1099547,841377,533405,421675
HUANCAVELICA,4805526,4882073,4257213,3003194,2070770,1346362,701610,362882,187009,162511,175628
HUANUCO,8965645,8667206,6912166,5234229,3391040,1572909,1083129,798014,505947,396296,356276
ICA,625302,456356,312277,258188,192946,111309,69526,60314,58471,63431,62751
JUNIN,4395123,4154545,3042591,2359371,2079680,1295969,892911,828491,1005326,774341,695891
LA LIBERTAD,8473727,8590460,6569746,4646806,3048698,1626562,1112522,388040,84993,54323,45248
LAMBAYEQUE,2536104,1192467,510798,402370,325911,209293,195569,100764,54847,42488,37341
LIMA,3788018,3334106,3139036,2816187,2308316,1396127,706984,445619,272521,179333,115390
LORETO,6298482,7345515,7332721,6613909,7130237,5691421,7383827,7931957,7230714,6182978,7041525
MADRE DE DIOS,597958,566830,537607,537117,393468,208730,198089,129334,128133,107940,110453
MOQUEGUA,846741,821771,561545,435900,386389,207072,102365,63315,41017,33700,41282
PASCO,2878055,2660416,1851483,1289489,771317,494270,554821,454451,192494,103203,74916
PIURA,9527927,7219646,4517167,3148427,2271414,1483162,898764,584837,418106,349671,246904
PUNO,5557183,4055162,1873360,1193644,784634,544744,290391,239680,188236,134857,121147
SAN MARTIN,12710072,10989918,8071528,6730007,5018537,2857600,2870496,2890022,1499397,1281582,1308933
TACNA,745540,669950,480036,259920,144329,83111,69724,79854,42447,34866,45024
TUMBES,349992,213061,140531,98010,74130,50816,22692,17797,16342,14989,18527
UCAYALI,1800078,1697871,1676314,1555520,1320321,951877,1145348,1198844,1043711,998044,784998
