Departamento,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AMAZONAS,6803410,5894810,5430159,4706310,4416282,3224426,2864034,1938021,1855092,1412676,1105879
ANCASH,12954769,14198367,10573646,7983574,5113686,2829656,2186893,1571472,995092,689351,567445
APURIMAC,6592219,6142864,4496985,3308717,2518871,1535980,1097864,639806,420728,256860,185678
AREQUIPA,9208197,9720840,7901367,6603140,6166643,4501304,3358884,2200584,1255565,743415,431679
AYACUCHO,10300831,9604035,5769189,4211451,3236492,2195485,1826017,1489509,900398,567868,375170
CAJAMARCA,12443704,10610422,7383684,5618726,4491701,3497082,2659984,1602135,758605,326332,198621
CUSCO,12225620,11748521,9286494,6720059,5623500,3700540,3695870,2286181,1666768,939625,723661
HUANCAVELICA,3946553,3874025,3598709,2700134,2135106,1857612,1400050,827551,441295,273488,242917
HUANUCO,8458875,8356894,6482269,4886798,3446330,1758060,1400615,1124256,792548,492355,380929
ICA,2118623,1542468,906719,633449,653058,501560,373900,414389,332505,254786,186638
JUNIN,6646467,6376888,4760455,3851008,3687372,2422303,1990882,1541987,1477108,1032456,720454
LA LIBERTAD,17222635,20117939,14297645,8103564,6111143,3622055,2586701,1593644,725786,491820,335496
LAMBAYEQUE,3272190,2289889,1343068,983765,806386,568250,493685,603811,338029,270103,159815
LIMA,9575866,10359426,9329164,7850356,7120578,4501149,2808378,2096506,1255561,728810,407554
LORETO,12969016,15511408,16512910,13916291,14614238,10822336,11191087,10883714,8901873,5837851,4744276
MADRE DE DIOS,2051321,1997262,1980302,1801415,1769056,1351051,1152906,486882,320122,258141,236373
MOQUEGUA,1142385,1111917,769256,640686,581705,434168,248005,144297,102130,70146,68026
PASCO,4588668,4174041,2739587,1996705,1437128,1136775,1374705,938980,410441,212607,133152
PIURA,10937165,10062338,6651032,4414039,3372462,2084853,1652496,1246149,1321124,1249168,716244
PUNO,8682952,7445648,3305295,2277487,1870273,1317869,1008858,836060,689472,669428,601834
SAN MARTIN,14737886,13755306,10215576,7573388,5964692,3527309,3557925,2867555,1804161,1009199,721411
TACNA,1480483,1433859,1100619,692889,394079,252179,216955,151696,102595,53110,44759
TUMBES,431828,348317,206347,122262,95057,58527,59875,51614,33861,24788,18609
UCAYALI,3676740,4333571,4215078,4221738,3598819,2670026,2517534,1784876,1546361,1205564,735747
