DEPARTAMENTO,GILAT,RURAL,TELEFONICA,AMERICA,WINNER,OPTICAL,ANTARI
AMAZONAS,42,,35,,,,
ANCASH,9,62,57,,,,
APURIMAC,58,,115,,,,
AREQUIPA,33,,6,,,,
AYACUCHO,98,,93,,,,
CAJAMARCA,57,,44,,,,
CUSCO,45,,184,,,,
HUANCAVELICA,87,,97,,,,
HUANUCO,33,,56,,,,
ICA,12,,13,,,,
JUNIN,41,,71,,,,
LA LIBERTAD,14,27,39,,,,
LAMBAYEQUE,1,1,15,,,,
LIMA,62,,41,,,,13
LORETO,71,,9,,,,
MADRE DE DIOS,4,,2,18,,,
MOQUEGUA,6,,11,,,,
PASCO,7,,15,,,,
PIURA,1,,43,,249,,
PUNO,45,,49,73,,,
SAN MARTIN,10,,9,,,,
TACNA,9,,4,,,6,
TUMBES,3,,8,,,,
UCAYALI,1,,3,,,,
