AÑO,PBI PER CAPITA SOLES
1960,6.97838149569921E-06
1961,7.50810944534427E-06
1962,8.27042301060581E-06
1963,0.000008804
1964,1.03506015834833E-05
1965,1.1929331675612E-05
1966,1.37208129847064E-05
1967,1.52554317345382E-05
1968,1.75770576903333E-05
1969,1.91403955339243E-05
1970,2.15595194763703E-05
1971,2.34091517458891E-05
1972,2.52713381020369E-05
1973,0.00002945
1974,3.61577175184578E-05
1975,4.48803356690078E-05
1976,0.00005751
1977,7.62819104795414E-05
1978,0.0001184331
1979,0.0002118299
1980,0.0003017965
1981,0.0005138348
1982,0.0008341583
1983,0.0015138488
1984,0.0031947304
1985,0.0084670577
1986,0.0152470895
1987,0.0303675806
1988,0.1845945239
1989,4.2327119701
1990,250.4712403201
1991,1210.397570754
1992,1987.4379207229
1993,3016.4039363312
1994,4173.6531681897
1995,5002.8786842583
1996,5548.2831891921
1997,6239.2744534004
1998,6451.8899157246
1999,6645.1630646784
2000,6968.3520420836
2001,6950.4008607626
2002,7243.6230678556
2003,7585.529267528
2004,8357.4736424344
2005,9081.6833216167
2006,10385.3875342291
2007,11299.4775617929
2008,12314.756172583
2009,12549.1064998795
2010,14189.0455137915
2011,15895.469585019
2012,16848.4224558627
2013,17786.9217917225
2014,18430.9390581336
2015,19275.5311741007
2016,20356.4636932918
2017,21429.0877317721
